Id_Secteur,Codeinsseecommune,Communesrelevantdusecteurderecrutement,Detailsecteurscolaire,Commune,college,Adressecollege,BPcollege,Cedexcollege,Codepostalcollege,Codeinseecommunecollege
"SECT_138","22384","UZEL-PRES-L'OUST","","LOUDEAC","Collège ""Les Livaudières""","Rue Joseph Chapron","B.P. 581","Cedex","22605","22136"
"SECT_139","22076","HENANBIHEN","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_14","22131","LOGUIVY-PLOUGRAS","Secteur situé à l'Est de la Rivière Milin ar Prat","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
"SECT_140","22143","MATIGNON","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_141","22174","PLEBOULLE","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_142","22268","RUCA","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_143","22282","SAINT-CAST-LE-GUILDO","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_144","22286","SAINT-DENOUAL","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_145","22323","SAINT-POTAN","","MATIGNON","Collège ""Paul Sébillot""","9 rue des Guerches","BP 20","","22550","22143"
"SECT_146","22062","GOMENE","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_147","22083","ILLIFAUT","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_148","22122","LAURENAN","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_149","22133","LOSCOUËT/MEU","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_15","22135","LOUARGAT","Sectuer à l'exception de la partie située au nord du chemin de fer","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
"SECT_150","56129","MENEAC","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_151","22147","MERDRIGNAC","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_152","22148","MERILLAC","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_153","22309","SAINT-LAUNEUC","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_154","22333","SAINT-VRAN","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_155","22371","TREMOREL","","MERDRIGNAC","Collège ""Per Jakez Hélias""","6 rue Jules Ferry","BP 76","","22230","22147"
"SECT_156","22015","BREHAND","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_157","22079","HENON","à l'exception du Haut Hénon","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_158","22153","MONCONTOUR","","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_159","22184","PLEMY","Zone à l'Est d'une ligne passant par les hameaux suivant en les incluant :Les Alleux, Les Guébeuroux, Belle Brise, Quengo, la Barre","MONCONTOUR","Collège ""François Lorant""","Le Bourgneuf","BP 14","","22510","22153"
"SECT_16","22216","PLOUGONVER","","BELLE-ISLE-EN-TERRE","Collège "" Prat Eles ""","3 Prat Eles","B.P.1","","22810","22005"
